[INFO] 2026-02-21 12:15:27,532 django.utils.autoreload Watching for file changes with StatReloader
[INFO] 2026-02-21 12:18:31,361 django.utils.autoreload Watching for file changes with StatReloader
[WARNING] 2026-02-21 12:18:34,927 django.request Not Found: /
[WARNING] 2026-02-21 12:18:34,927 django.server "GET / HTTP/1.1" 404 2979
[WARNING] 2026-02-21 12:18:35,057 django.request Not Found: /favicon.ico
[WARNING] 2026-02-21 12:18:35,058 django.server "GET /favicon.ico HTTP/1.1" 404 3030
[INFO] 2026-02-21 12:18:45,655 django.server "GET /swagger/ HTTP/1.1" 200 1637
[INFO] 2026-02-21 12:18:45,687 django.server "GET /static/drf-yasg/style.css HTTP/1.1" 304 0
[INFO] 2026-02-21 12:18:45,690 django.server "GET /static/drf-yasg/swagger-ui-dist/swagger-ui.css HTTP/1.1" 304 0
[INFO] 2026-02-21 12:18:45,691 django.server "GET /static/drf-yasg/swagger-ui-dist/swagger-ui-bundle.js HTTP/1.1" 304 0
[INFO] 2026-02-21 12:18:45,694 django.server "GET /static/drf-yasg/swagger-ui-init.js HTTP/1.1" 304 0
[INFO] 2026-02-21 12:18:45,695 django.server "GET /static/drf-yasg/swagger-ui-dist/swagger-ui-standalone-preset.js HTTP/1.1" 304 0
[INFO] 2026-02-21 12:18:45,695 django.server "GET /static/drf-yasg/insQ.min.js HTTP/1.1" 304 0
[INFO] 2026-02-21 12:18:45,696 django.server "GET /static/drf-yasg/immutable.min.js HTTP/1.1" 304 0
[INFO] 2026-02-21 12:18:45,861 django.server "GET /swagger/?format=openapi HTTP/1.1" 200 7339
[INFO] 2026-02-21 12:19:17,845 django.server "POST /api/auth/login/ HTTP/1.1" 200 489
[INFO] 2026-02-21 12:20:09,978 django.server "POST /api/uploads/ HTTP/1.1" 201 168
[INFO] 2026-02-21 12:20:31,338 django.server "POST /api/uploads/ HTTP/1.1" 201 179
[INFO] 2026-02-21 12:22:00,339 django.server "GET /swagger/ HTTP/1.1" 200 1637
[INFO] 2026-02-21 12:22:00,483 django.server "GET /static/drf-yasg/swagger-ui-dist/favicon-32x32.png HTTP/1.1" 304 0
[INFO] 2026-02-21 12:22:00,520 django.server "GET /swagger/?format=openapi HTTP/1.1" 200 7339
[INFO] 2026-02-21 12:34:09,769 django.utils.autoreload Watching for file changes with StatReloader
[WARNING] 2026-02-21 12:34:28,046 django.request Not Found: /
[WARNING] 2026-02-21 12:34:28,046 django.server "GET / HTTP/1.1" 404 3138
[INFO] 2026-02-21 12:34:49,795 django.server "GET /api/marketplace/uploads HTTP/1.1" 301 0
[INFO] 2026-02-21 12:34:49,865 django.server "GET /api/marketplace/uploads/ HTTP/1.1" 200 8141
[INFO] 2026-02-21 12:34:49,893 django.server "GET /static/rest_framework/css/bootstrap.min.css HTTP/1.1" 304 0
[INFO] 2026-02-21 12:34:49,894 django.server "GET /static/rest_framework/css/bootstrap-tweaks.css HTTP/1.1" 304 0
[INFO] 2026-02-21 12:34:49,898 django.server "GET /static/rest_framework/css/prettify.css HTTP/1.1" 304 0
[INFO] 2026-02-21 12:34:49,900 django.server "GET /static/rest_framework/css/default.css HTTP/1.1" 304 0
[INFO] 2026-02-21 12:34:49,901 django.server "GET /static/rest_framework/js/ajax-form.js HTTP/1.1" 304 0
[INFO] 2026-02-21 12:34:49,902 django.server "GET /static/rest_framework/js/csrf.js HTTP/1.1" 304 0
[INFO] 2026-02-21 12:34:49,903 django.server "GET /static/rest_framework/js/jquery-3.7.1.min.js HTTP/1.1" 304 0
[INFO] 2026-02-21 12:34:49,904 django.server "GET /static/rest_framework/js/prettify-min.js HTTP/1.1" 304 0
[INFO] 2026-02-21 12:34:49,905 django.server "GET /static/rest_framework/js/bootstrap.min.js HTTP/1.1" 304 0
[INFO] 2026-02-21 12:34:49,905 django.server "GET /static/rest_framework/js/load-ajax-form.js HTTP/1.1" 304 0
[INFO] 2026-02-21 12:34:49,906 django.server "GET /static/rest_framework/js/default.js HTTP/1.1" 304 0
[INFO] 2026-02-21 12:34:49,911 django.server "GET /static/rest_framework/img/grid.png HTTP/1.1" 304 0
[INFO] 2026-02-21 12:34:50,004 django.server "GET /static/rest_framework/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
[INFO] 2026-02-21 12:35:02,897 django.server "OPTIONS /api/marketplace/uploads/ HTTP/1.1" 200 5987
